Net name         Sheet                                                                               Color          Trace width min (mil) Trace width (mil) Trace width max (mil) Trace length min (mil) Trace length max (mil) Trace to trace (mil) Trace to pad (mil) Trace to via (mil) Trace to copper area (mil) Routing layers Net group IC initial condition (V) NODESET (V) Type   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0                BCD Counter- Final; 74LS109(SC2); 74LS109(SC3); 7400(SC4); 74ALS02(SC5); NE555(SC1) Custom                                                                                                                                                                                                                                                                         Ground 
1                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
2                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
3                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
4                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
5                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
6                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
7                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
8                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
9                BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
11               BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
12               BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
13               BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
14               BCD Counter- Final                                                                  Default                                                                                                                                                                                                                                                                        Signal 
SC1/2            BCD Counter- Final; NE555(SC1)                                                      Default                                                                                                                                                                                                                                                                        Signal 
SC1/3            BCD Counter- Final; 74LS109(SC2); NE555(SC1)                                        Default                                                                                                                                                                                                                                                                        Signal 
SC1/4            BCD Counter- Final; NE555(SC1); 74LS109(SC2); 74LS109(SC3); 7400(SC4); 74ALS02(SC5) Default                                                                                                                                                                                                                                                                        Signal 
SC1/5            BCD Counter- Final; NE555(SC1)                                                      Default                                                                                                                                                                                                                                                                        Signal 
SC1/7            BCD Counter- Final; NE555(SC1)                                                      Default                                                                                                                                                                                                                                                                        Signal 
SC2/6            BCD Counter- Final; 74LS109(SC2)                                                    Default                                                                                                                                                                                                                                                                        Signal 
SC2/7            BCD Counter- Final; 7400(SC4); 74LS109(SC2)                                         Default                                                                                                                                                                                                                                                                        Signal 
SC2/9            BCD Counter- Final; 7400(SC4); 74LS109(SC2)                                         Default                                                                                                                                                                                                                                                                        Signal 
SC2/10           BCD Counter- Final; 74LS109(SC2); 74LS109(SC3)                                      Default                                                                                                                                                                                                                                                                        Signal 
SC2/GND          74LS109(SC2)                                                                        Default                                                                                                                                                                                                                                                                        Signal 
SC2/VCC          74LS109(SC2)                                                                        Default                                                                                                                                                                                                                                                                        Signal 
SC3/1            BCD Counter- Final; 74LS109(SC2); 74LS109(SC3); 74ALS02(SC5)                        Custom                                                                                                                                                                                                                                                                         Signal 
SC3/6            BCD Counter- Final; 74LS109(SC3)                                                    Custom                                                                                                                                                                                                                                                                         Signal 
SC3/7            BCD Counter- Final; 74LS109(SC3)                                                    Default                                                                                                                                                                                                                                                                        Signal 
SC3/9            BCD Counter- Final; 74ALS02(SC5); 74LS109(SC3)                                      Default                                                                                                                                                                                                                                                                        Signal 
SC3/10           BCD Counter- Final; 74LS109(SC3)                                                    Default                                                                                                                                                                                                                                                                        Signal 
SC3/GND          74LS109(SC3)                                                                        Default                                                                                                                                                                                                                                                                        Signal 
SC3/VCC          74LS109(SC3)                                                                        Default                                                                                                                                                                                                                                                                        Signal 
SC4/3            BCD Counter- Final; 7400(SC4); 74ALS02(SC5)                                         Custom                                                                                                                                                                                                                                                                         Signal 
