time	V(vrec)
0.000000000000000e+000	0.000000e+000
7.999999773744548e-009	-9.705459e-010
1.599999954748910e-008	4.696405e-004
2.395177847444417e-008	3.377292e+000
3.985533632835433e-008	2.211253e+001
5.709621995364010e-008	8.708870e+001
9.157798720421163e-008	4.267772e+002
9.164884463336668e-008	5.068121e+002
9.166655899065545e-008	5.289001e+002
9.170198770523298e-008	5.341662e+002
9.219798970931836e-008	5.556464e+002
9.276484914255881e-008	5.777498e+002
9.389856800903970e-008	6.119724e+002
9.393039316114364e-008	6.124119e+002
9.399404346535152e-008	6.124899e+002
9.412134407376727e-008	6.126409e+002
9.437594529059878e-008	6.129133e+002
9.488514772426178e-008	6.133514e+002
9.590355259158778e-008	6.139948e+002
9.708805664200439e-008	6.145303e+002
9.836407158322282e-008	6.149478e+002
9.991940595109254e-008	6.153279e+002
1.026696128205502e-007	6.158235e+002
1.081700265594654e-007	6.165324e+002
1.191708540372958e-007	6.175550e+002
1.411725089929566e-007	6.191393e+002
1.851758189042783e-007	6.216384e+002
1.961766463821088e-007	6.219145e+002
2.181783013377696e-007	6.219268e+002
2.621816112490913e-007	6.219261e+002
3.501882310717347e-007	6.219246e+002
4.962227605520770e-007	6.219221e+002
6.302413304495819e-007	6.219198e+002
7.424619740780814e-007	6.219179e+002
8.484600540647975e-007	6.219161e+002
9.627296883939697e-007	6.219141e+002
1.088542352995201e-006	6.219119e+002
1.265354416593718e-006	6.219090e+002
1.302905104601286e-006	6.219083e+002
1.312292776603178e-006	6.219081e+002
1.331068120606962e-006	6.219078e+002
1.368618808614530e-006	6.219071e+002
1.378006480616423e-006	6.219069e+002
1.380353398616896e-006	6.219069e+002
1.385047234617841e-006	6.219068e+002
1.394434906619734e-006	6.219067e+002
1.403766109027650e-006	6.219065e+002
1.422428513843482e-006	6.219062e+002
1.442649569328273e-006	6.219058e+002
1.483091680297854e-006	6.219052e+002
1.563975902237017e-006	6.218370e+002
1.725744346115342e-006	6.216167e+002
1.952251545559264e-006	6.214941e+002
4.358644163252971e-006	6.214342e+002
6.765036780946677e-006	6.213589e+002
9.171429398640384e-006	6.212679e+002
1.157782201633409e-005	6.211615e+002
1.398421463402780e-005	6.210396e+002
1.639060725172150e-005	6.209021e+002
1.879699986941520e-005	6.207491e+002
1.886792314161751e-005	6.207437e+002
1.900976968602214e-005	6.207328e+002
1.902741467570282e-005	6.207326e+002
1.906270465506417e-005	6.208651e+002
1.913328461378689e-005	6.212592e+002
1.927444453123231e-005	6.215182e+002
1.947607848084479e-005	6.215126e+002
2.011114991571150e-005	6.214944e+002
2.074622135057821e-005	6.214757e+002
2.138129278544491e-005	6.214566e+002
2.201636422031162e-005	6.214370e+002
2.265143565517833e-005	6.214169e+002
2.328650709004504e-005	6.213964e+002
2.392157852491174e-005	6.213754e+002
2.395949991791514e-005	6.213741e+002
2.424668554786915e-005	6.213643e+002
2.502310730176589e-005	6.213372e+002
2.502803696369539e-005	6.213370e+002
2.503789628755440e-005	6.213367e+002
2.505761493527241e-005	6.213359e+002
